50 :2021-08-17 01:47:19,753 : CRITICAL : logger : File C:\Users\user\Downloads\beton_etabs\Example Cal Book\Etabs\Etabs complete\Etabs.edb cant open
50 :2021-08-17 01:49:11,791 : CRITICAL : logger : File C:\Users\user\Downloads\beton_etabs\Example Cal Book\Etabs\Etabs complete\Etabs.EDB cant open
50 :2021-08-17 01:50:08,039 : CRITICAL : logger : File C:\Users\user\Downloads\steel-project-new\steel-project[www.icivil.ir]\ETABS 2015\soranEtabs.EDB cant open
20 :2021-08-17 01:58:54,289 : INFO : logger : File opened successfully
20 :2021-08-17 02:24:14,157 : INFO : logger : File opened successfully
20 :2021-08-17 02:24:14,181 : INFO : logger : False lock successfully
20 :2021-08-17 02:27:53,283 : INFO : logger : File opened successfully
20 :2021-08-17 02:27:53,310 : INFO : logger : False lock successfully
20 :2021-08-17 02:29:45,204 : INFO : logger : File opened successfully
20 :2021-08-17 02:29:45,229 : INFO : logger : False lock successfully
20 :2021-08-17 02:30:09,120 : INFO : logger : File opened successfully
20 :2021-08-17 02:30:09,145 : INFO : logger : False lock successfully
20 :2021-08-17 02:33:25,155 : INFO : logger : File opened successfully
20 :2021-08-17 02:33:25,179 : INFO : logger : False lock successfully
20 :2021-08-17 02:34:06,970 : INFO : logger : File opened successfully
20 :2021-08-17 02:34:06,998 : INFO : logger : False lock successfully
20 :2021-08-17 02:36:51,953 : INFO : logger : File opened successfully
20 :2021-08-17 02:36:51,975 : INFO : logger : False lock successfully
20 :2021-08-17 02:36:51,985 : INFO : logger : units set to kgf_centimeter
20 :2021-08-17 02:39:23,840 : INFO : logger : File opened successfully
20 :2021-08-17 02:39:23,866 : INFO : logger : units set to kgf_centimeter
20 :2021-08-17 02:39:23,870 : INFO : logger : False lock successfully
20 :2021-08-17 02:54:36,978 : INFO : logger : File opened successfully
20 :2021-08-17 02:54:37,005 : INFO : logger : units set to kgf_centimeter
20 :2021-08-17 02:54:37,009 : INFO : logger : False lock successfully
20 :2021-08-17 02:54:37,018 : INFO : logger : units set to kgf_centimeter
20 :2021-08-17 03:15:08,979 : INFO : logger : File opened successfully
20 :2021-08-17 03:15:09,007 : INFO : logger : units set to kgf_centimeter
20 :2021-08-17 03:15:09,011 : INFO : logger : False lock successfully
20 :2021-08-17 03:15:09,019 : INFO : logger : units set to kgf_centimeter
20 :2021-08-17 03:29:16,498 : INFO : logger : File opened successfully
20 :2021-08-17 03:29:16,525 : INFO : logger : units set to kgf_centimeter
20 :2021-08-17 03:29:16,529 : INFO : logger : False lock successfully
20 :2021-08-17 03:29:16,538 : INFO : logger : units set to kgf_centimeter
30 :2021-08-17 03:29:16,543 : WARNING : logger : can't get frame's name successfully
20 :2021-08-17 03:30:53,951 : INFO : logger : File opened successfully
20 :2021-08-17 03:30:53,976 : INFO : logger : units set to kgf_centimeter
20 :2021-08-17 03:30:53,983 : INFO : logger : False lock successfully
20 :2021-08-17 03:30:53,992 : INFO : logger : units set to kgf_centimeter
30 :2021-08-17 03:30:53,996 : WARNING : logger : can't get stories name successfully
30 :2021-08-17 03:30:53,997 : WARNING : logger : can't get frame's name successfully
20 :2021-08-17 03:32:15,359 : INFO : logger : File opened successfully
20 :2021-08-17 03:32:15,384 : INFO : logger : units set to kgf_centimeter
20 :2021-08-17 03:32:15,388 : INFO : logger : False lock successfully
20 :2021-08-17 03:32:15,396 : INFO : logger : units set to kgf_centimeter
30 :2021-08-17 03:32:15,400 : WARNING : logger : can't get stories name successfully
30 :2021-08-17 03:32:15,401 : WARNING : logger : can't get frame's name successfully
20 :2021-08-17 03:34:16,382 : INFO : logger : File opened successfully
20 :2021-08-17 03:34:16,408 : INFO : logger : units set to kgf_centimeter
20 :2021-08-17 03:34:16,412 : INFO : logger : False lock successfully
20 :2021-08-17 03:34:16,420 : INFO : logger : units set to kgf_centimeter
20 :2021-08-17 03:35:09,727 : INFO : logger : File opened successfully
20 :2021-08-17 03:35:09,752 : INFO : logger : units set to kgf_centimeter
20 :2021-08-17 03:35:09,757 : INFO : logger : False lock successfully
20 :2021-08-17 03:35:09,766 : INFO : logger : units set to kgf_centimeter
20 :2021-08-17 03:35:09,770 : INFO : logger : stories  get successfully
20 :2021-08-17 03:35:09,771 : INFO : logger : frame's name get successfully
20 :2021-08-17 03:48:50,985 : INFO : logger : File opened successfully
20 :2021-08-17 03:48:51,012 : INFO : logger : units set to kgf_centimeter
20 :2021-08-17 03:48:51,029 : INFO : logger : False lock successfully
20 :2021-08-17 03:48:51,037 : INFO : logger : units set to kgf_centimeter
20 :2021-08-17 03:48:51,039 : INFO : logger : stories  get successfully
20 :2021-08-17 03:48:51,040 : INFO : logger : frame's name get successfully
20 :2021-08-17 04:04:34,973 : INFO : logger : File opened successfully
20 :2021-08-17 04:04:35,004 : INFO : logger : units set to kgf_centimeter
20 :2021-08-17 04:04:35,015 : INFO : logger : False lock successfully
20 :2021-08-17 04:04:35,023 : INFO : logger : units set to kgf_centimeter
20 :2021-08-17 04:04:35,028 : INFO : logger : stories  get successfully
20 :2021-08-17 04:08:50,093 : INFO : logger : File opened successfully
20 :2021-08-17 04:08:50,126 : INFO : logger : units set to kgf_centimeter
20 :2021-08-17 04:08:50,139 : INFO : logger : False lock successfully
20 :2021-08-17 04:08:50,147 : INFO : logger : units set to kgf_centimeter
20 :2021-08-17 04:08:50,155 : INFO : logger : stories  get successfully
20 :2021-08-17 09:27:34,060 : INFO : logger : File opened successfully
20 :2021-08-17 09:27:34,093 : INFO : logger : units set to kgf_centimeter
20 :2021-08-17 09:27:34,108 : INFO : logger : False lock successfully
20 :2021-08-17 09:27:34,116 : INFO : logger : units set to kgf_centimeter
20 :2021-08-17 09:27:34,136 : INFO : logger : stories  get successfully
20 :2021-08-17 09:28:24,803 : INFO : logger : File opened successfully
20 :2021-08-17 09:28:24,828 : INFO : logger : units set to kgf_centimeter
20 :2021-08-17 09:28:24,842 : INFO : logger : False lock successfully
20 :2021-08-17 09:28:24,850 : INFO : logger : units set to kgf_centimeter
20 :2021-08-17 09:28:24,859 : INFO : logger : stories  get successfully
20 :2021-08-17 09:28:24,859 : INFO : logger : columns_minimum_width set to 25
20 :2021-08-17 09:28:24,859 : INFO : logger : columns_minimum_height set to 25
20 :2021-08-17 09:28:24,859 : INFO : logger : beams_minimum_width set to 25
20 :2021-08-17 09:28:24,859 : INFO : logger : beams_minimum_height set to 25
20 :2021-08-17 09:28:24,863 : INFO : logger : frame's name get successfully
20 :2021-08-17 09:28:24,863 : INFO : logger : frame's name get successfully
20 :2021-08-17 09:32:32,858 : INFO : logger : File opened successfully
20 :2021-08-17 09:32:32,884 : INFO : logger : units set to kgf_centimeter
20 :2021-08-17 09:32:32,900 : INFO : logger : False lock successfully
20 :2021-08-17 09:32:32,909 : INFO : logger : units set to kgf_centimeter
